"LeBron James_CLE","Joel Embiid_PHI","Ben Simmons_PHI","Andre Drummond_DET","Karl-Anthony Towns_MIN","Bradley Beal_WAS","Kristaps Porzingis_NY","Nikola Jokic_DEN","LaMarcus Aldridge_SA","John Wall_WAS","Kevin Love_CLE","Jimmy Butler_MIN","Devin Booker_PHO","Dennis Schroder_ATL","Will Barton_DEN","Kawhi Leonard_SA","Otto Porter_WAS","Zach Randolph_SAC","TJ Warren_PHO","D'Angelo Russell_BKN","Gary Harris_DEN","Brandon Ingram_LAL","Paul Millsap_DEN","Tobias Harris_DET","Lonzo Ball_LAL","Isaiah Thomas_CLE","Jeff Teague_MIN","Enes Kanter_NY","Tim Hardaway_NY","Harrison Barnes_DAL","Robert Covington_PHI","Spencer Dinwiddie_BKN","Andrew Wiggins_MIN","Taj Gibson_MIN","Reggie Jackson_DET","Rondae Hollis-Jefferson_BKN","Rudy Gay_SA","Courtney Lee_NY","Pau Gasol_SA","Dario Saric_PHI","Caris LeVert_BKN","Buddy Hield_SAC","Jamal Murray_DEN","DeMarre Carroll_BKN","John Collins_ATL","Kentavious Caldwell-Pope_LAL","Taurean Prince_ATL","JJ Redick_PHI","Dwyane Wade_CLE","Kent Bazemore_ATL","Kyle Kuzma_LAL","Willie Cauley-Stein_SAC","Avery Bradley_DET","Kenneth Faried_DEN","Marcin Gortat_WAS","Dewayne Dedmon_ATL","Ersan Ilyasova_ATL","Dennis Smith_DAL","Kyle Anderson_SA","Markieff Morris_WAS","JJ Barea_DAL","Greg Monroe_PHO","Jordan Clarkson_LAL","Danny Green_SA","Julius Randle_LAL","Kelly Oubre_WAS","Larry Nance_LAL","De'Aaron Fox_SAC","Dirk Nowitzki_DAL","Mason Plumlee_DEN","Jarrett Jack_NY","Alex Len_PHO","Tyson Chandler_PHO","Wesley Matthews_DAL","Emmanuel Mudiay_DEN","Wilson Chandler_DEN","Allen Crabbe_BKN","Mike Scott_WAS","Jeff Green_CLE","Brook Lopez_LAL","Trey Lyles_DEN","Josh Jackson_PHO","Mike James_PHO","TJ McConnell_PHI","Trevor Booker_PHI","Jahlil Okafor_BKN","Tyler Ulis_PHO","Patty Mills_SA","Marco Belinelli_ATL","Marquese Chriss_PHO","Seth Curry_DAL","George Hill_SAC","Tony Parker_SA","JR Smith_CLE","Kyle O'Quinn_NY","Troy Daniels_PHO","Frank Mason III_SAC","Dejounte Murray_SA","Ish Smith_DET","Tomas Satoransky_WAS","Tristan Thompson_CLE","Tyler Cavanaugh_ATL","Bogdan Bogdanovic_SAC","Yogi Ferrell_DAL","Markelle Fultz_PHI","Gorgui Dieng_MIN","Richaun Holmes_PHI","Stanley Johnson_DET","Tim Frazier_WAS","Joe Harris_BKN","Kyle Korver_CLE","Luke Babbitt_ATL","DeAndre' Bembry_ATL","Jae Crowder_CLE","Michael Beasley_NY","Doug McDermott_NY","Garrett Temple_SAC","Jakarr Sampson_SAC","Jared Dudley_PHO","Dwight Powell_DAL","Manu Ginobili_SA","Malik Beasley_DEN","Anthony Tolliver_DET","Nik Stauskas_BKN","Derrick Rose_CLE","Frank Ntilikina_NY","Brandon Paul_SA","Bryn Forbes_SA","Maxi Kleber_DAL","Amir Johnson_PHI","Jamal Crawford_MIN","Juancho Hernangomez_DEN","Tyler Zeller_BKN","Miles Plumlee_ATL","Iman Shumpert_CLE","Mike Muscala_ATL","Guillermo Hernangomez_NY","Devin Harris_DAL","Davis Bertans_SA","Tyus Jones_MIN","Jerryd Bayless_PHI","Shabazz Muhammad_MIN","Nemanja Bjelica_MIN","Jarrett Allen_BKN","Malcolm Delaney_ATL","Damyean Dotson_NY","Ivica Zubac_LAL","Skal Labissiere_SAC","Dragan Bender_PHO","Jodie Meeks_WAS","Channing Frye_CLE","Joakim Noah_NY","Ron Baker_NY","Justin Jackson_SAC","Kosta Koufos_SAC","Luke Kennard_DET","Jason Smith_WAS","Ian Mahinmi_WAS","Isaiah Whitehead_BKN","Isaiah Taylor_ATL","Lance Thomas_NY","Alan Williams_PHO","Timothe Luwawu-Cabarrot_PHI","Langston Galloway_DET","Quincy Acy_BKN","Ramon Sessions_NY","Salah Mejri_DAL","Reggie Bullock_DET","Dwight Buycks_DET","Boban Marjanovic_DET","Eric Moreland_DET","Jon Leuer_DET","Luis Montero_DET","Henry Ellenson_DET","Tyler Lydon_DEN","Monte Morris_DEN","Darrell Arthur_DEN","Richard Jefferson_DEN","Torrey Craig_DEN","Sheldon Mac_WAS","Devin Robinson_WAS","Chris McCullough_WAS","Mike Young_WAS","Timofey Mozgov_BKN","Jeremy Lin_BKN","Jacob Wiley_BKN","Yakuba Ouattara_BKN","Ante Zizic_CLE","Cedi Osman_CLE","London Perrantes_CLE","John Holland_CLE","Jose Calderon_CLE","Josh Magette_ATL","Tyler Dorsey_ATL","Luke Kornet_NY","Isaiah Hicks_NY","Thomas Bryant_LAL","Tyler Ennis_LAL","Josh Hart_LAL","Alex Caruso_LAL","Luol Deng_LAL","Andrew Bogut_LAL","Corey Brewer_LAL","Vander Blue_LAL","Jack Cooley_SAC","Vince Carter_SAC","Georgios Papagiannis_SAC","Harry Giles_SAC","Malachi Richardson_SAC","Danuel House_PHO","Brandon Knight_PHO","Alec Peters_PHO","Davon Reed_PHO","Matt Costello_SA","Joffrey Lauvergne_SA","Derrick White_SA","Darrun Hilliard_SA","Dorian Finney-Smith_DAL","Jeff Withey_DAL","Josh McRoberts_DAL","Nerlens Noel_DAL","Johnathan Motley_DAL","Antonius Cleveland_DAL","Furkan Korkmaz_PHI","Justin Anderson_PHI","Jacob Pullen_PHI","James Michael McAdoo_PHI","Aaron Brooks_MIN","Cole Aldrich_MIN","Anthony Brown_MIN","Marcus Georges-Hunt_MIN","Justin Patton_MIN"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.76041666666667,0,0,0,67,0,0,0,0,-17.4270833333333,0,0,-11.09375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.7604166666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.572916666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-21.0833333333333,0,0,0,0,0,0,0,0,0,0,18.1458333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-15.6354166666667,0,0,0,0,0,-15.96875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,-16.1875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-16.1875,0,-9.91666666666667,0,0,-2.47916666666667,0,0,0,0,0,0,-24.3541666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-18.5208333333333,0,0,0,0,0,0,0,0,0,0,0,0,-7,0,0,0,0,0,0,0,0,0,-10.7916666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.79166666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-73.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-117.378125,0,0,0,0,0,0,0,0,0,143.290625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9.246875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-14.90625,0,0,0,0,-8.8625,0,0,0,0,0,-11.165625,0,0,0,0,0,0,0,0,0,0,0,0,0,33.6375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78.425,0,0,0,0,0,0,-7.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.721875,0,0,7.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,23.0625,0,0,0,0,0,50.378125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-43.096875,0,0,0,0,0,0,0,0,0,-43.146875,71.915625,0,0,0,0,0,0,0,0,2.0125,-4.428125,0,0,0,23.46875,0,0,14.88125,0,0,0,0,0,-26.490625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-40.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.58125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,-49.6125,0,0,0,0,0,0,0,0,0,0,-19.59375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-80.546875,0,0,0,0,-81.209375,0,0,0,0,0,78.7875,0,0,0,0,0,0,0,0,0,0,0,-61.33125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.021875,0,0,0,0,0,0,0,0,-44.934375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133.8625,0,0,0,0,0,0,-5.23125,24.990625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.153125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25.778125,0,0,0,0,0,0,0,0,0,-10.178125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-24.946875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.3625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.7125,0,0,-19.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.39375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.6125,-9.40625,0,0,-12.6625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.446875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.490625,0,0,0,0,0,0,0,0,0,-37.878125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-44.178125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.484375,0,0,0,0,3.0375,0,0,0,0,0,-6.465625,0,0,0,0,0,0,0,0,0,0,0,0,0,-25.025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-7.35,0,0,0,0,0,0,46.66875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.665625,0,0,4.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,-48.315625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.471875,0,0,0,0,0,0,0,0,0,0,12.5625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.45625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-55.19375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.784375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81.45,0,0,0,0,0,0,0,59.16875,0,0,0,0,0,15.725,46.453125,0,0,28.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,-17.26875,0,0,0,0,0,0,0,0,0,0,-4.21875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.9375,0,0,0,0,-3.88125,0,0,0,0,0,-16.65,0,0,0,0,0,0,0,0,0,0,0,-9.675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-10.18125,0,0,0,0,0,0,0,0,-7.7625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.23125,0,0,0,0,0,0,4.05,-9.05625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.5125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,13.946875,0,0,0,0,0,0,0,0,0,0,14.703125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.703125,0,0,0,0,-6.60625,0,0,0,0,0,40.0125,0,0,0,0,0,0,0,0,0,0,0,20.93125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.6375,0,0,0,0,0,0,0,0,6.646875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.990625,0,0,0,0,0,0,-9.05625,24.23125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-10.178125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.3229166666667,0,0,0,-86.9375,0,0,0,0,-10.7395833333333,0,0,9.0625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-34.8020833333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.57291666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.2916666666667,0,0,0,0,0,0,0,0,0,0,-15.6354166666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.6458333333333,0,0,0,0,0,7.28125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0.71875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-93.65625,0,7.04166666666667,0,0,-4.15625,0,0,0,0,0,0,-49.5520833333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-49.4895833333333,0,0,0,0,0,0,0,0,0,0,0,0,36.0625,0,0,0,0,0,0,0,0,0,45.2708333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72.875,0,0,0,0,0,0,0,0,0,0,3.79166666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.3541666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,-85.3333333333333,-10.625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-40.421875,0,0,0,0,0,0,0,0,5.65625,0,0,0,0,0,0,0,21.2916666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9.84375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.4322916666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.91666666666667,0,0,0,0,0,0,0,0,0,0,-2.46875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.890625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,-66.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.08125,0,0,0,0,0,0,0,0,0,0,36.9375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.29375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-19.13125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59.16875,0,0,0,0,0,0,0,55.95,0,0,0,0,0,9.35,39.65625,0,0,23.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
